ID,količina,merska enota,sestavina
21322,250,ml,mandljevo mleko 
21322,120,ml,olje 
21322,2,žlica,kokosovo olje 
21322,1,,limona 
21322,2,žlička,vanilijev ekstrakt 
21322,2,,limona
21322,200,ml,mandljevo mleko 
21322,500,ml,kokosovo mleko 
21322,250,ml,mandljevo mleko 
21322,2,,vanilijev puding 
21322,3,žlica,tapioka 
21322,3,žlica,kokosova moka 
21322,5,žlica,sladkor
21322,1,,limona 
21322,350,g,maline 
21322,3,žlica,sladkor v prahu
21322,7,dl,limonin sok
21322,7,žlica,sladkor v prahu 
21322,1,žlica,kokosovo mleko 
21323,100,g,ocvirki z mastjo 
21323,100,g,špeh 
21323,2,,čebula 
21323,50,g,peteršilj 
21323,4,,jajce 
21323,280,g,smetana 
21323,200,g,moka
21323,1,,pecilni prašek
21323,1,,poper 
21324,30,dag,namenske moka
21324,1,dl,mlačna voda 
21324,2,dl,mleko 
21324,1,,jajce 
21324,3,žlica,olje
21324,2,žlička,sol 
21324,50,dag,skuta 
21324,1,lonček,jogurt
21324,1,ščepec,sol 
21324,10,dag,maslo
21324,1,,drobtine 
21324,3,žlica,bela moka
21324,0.5,skodelica,orehi 
21324,2,žlica,maslo 
21324,2,žlica,rjavi sladkor
21324,2,,jabolko
21324,1,ščepec,cimet
21324,1,,sladkor
21324,1,,mak 
21325,2,žlica,olje 
21325,1,,čebula 
21325,2,strok,česen 
21325,1,,rdeča paprika 
21325,200,g,leča 
21325,1,,jajce
21325,1,,moka 
21326,55,g,sladkor 
21326,1,žlica,kakav v prahu
21326,0.5,,pecilni prašek 
21326,2,dl,voda 
21326,2,dl,olje 
21326,100,ml,sladka smetana 
21326,2,žlica,mascarpone
21326,0.5,,vanilijin sladkor
21326,6,žlica,sok 
21327,250,g,prosena kaša 
21327,1,,sol 
21327,5,,jabolko
21327,1,,vanilijev sladkor
21327,2,,jajce 
21327,1,,rum 
21327,1,dl,smetana 
21329,1,kg,vlečeno testo 
21329,1,kg,mleti orehi 
21329,5,žlica,sladkor 
21329,5,žlica,krušne drobtine 
21329,500,g,maslo 
21329,3,dl,jedilno olje
21329,700,g,sladkor
21329,1,l,voda 
21330,4,,jajce 
21330,180,g,sladkor 
21330,1,,vanilin sladkor 
21330,60,g,moka 
21330,30,g,kakav v prahu 
21330,2,,pecilni prašek 
21330,200,ml,sladka smetana 
21330,360,g,čokolada za kuhanje 
21331,2,strok,česen 
21331,1,žlica,mleta sladka paprika
21331,1,žlička,mleta kumina
21331,1,žlička,kumina 
21331,1,žlica,suhi timijan
21331,2,žlica,kečap 
21331,1,žlica,gorčica 
21331,1,žlica,sojina omaka 
21331,1,žlica,oljčno olje
21331,5,g,peteršil 
21331,5,g,rožmarin 
